metric,filter,breakdown,treatment,segment,delta,baselineMean,baselineSampleSize,testGroupMean,testGroupSampleSize,ci_70_interval,ci_70_intervalLower,ci_70_intervalUpper,ci_80_interval,ci_80_intervalLower,ci_80_intervalUpper,ci_90_interval,ci_90_intervalLower,ci_90_intervalUpper,ci_95_interval,ci_95_intervalLower,ci_95_intervalUpper,effectiveSampleSize,pvalue,sem,std
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: NFL Pros,Heineken,0.9,61.6,660.0,62.5,308,1.8,1.8,1.8,2.2,2.2,2.2,2.8,2.8,2.8,3.3,3.3,3.3,237.9,0.601,1.5,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: NFL Pros,Michelob ULTRA,0.7,60.0,542.0,60.7,248,1.8,1.8,1.8,2.3,2.3,2.3,2.9,2.9,2.9,3.5,3.5,3.5,196.5,0.698,1.5,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: NFL Pros,Pabst Blue Ribbon,0.7,60.0,423.0,60.7,192,2.0,2.0,2.0,2.4,2.4,2.4,3.1,3.1,3.1,3.7,3.7,3.7,150.9,0.721,1.6,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: NFL Pros,Truly,-0.2,60.7,392.0,60.5,210,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.0,3.0,3.0,163.9,0.921,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Bud Light: NFL Pros,White Claw,0.1,61.0,569.0,61.1,297,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,232.7,0.938,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Anheuser-Busch _ That’s Who We Are,Bud Light,2.7,61.7,780.0,64.4,376,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,282.5,0.07,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Anheuser-Busch _ That’s Who We Are,Budweiser,2.6,62.3,722.0,65.0,345,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,259.1,0.071,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Anheuser-Busch _ That’s Who We Are,Busch,2.7,60.9,554.0,63.7,259,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,3.0,3.0,3.0,195.5,0.068,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Anheuser-Busch _ That’s Who We Are,Corona,2.6,61.8,734.0,64.3,340,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,255.9,0.082,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Anheuser-Busch _ That’s Who We Are,Cutwater,3.2,62.9,142.0,66.1,81,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,63.2,0.047,1.6,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Anheuser-Busch _ That’s Who We Are,Heineken,2.6,61.6,660.0,64.2,301,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,2.9,2.9,2.9,228.9,0.084,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Anheuser-Busch _ That’s Who We Are,Michelob ULTRA,2.7,60.0,542.0,62.7,237,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,179.6,0.073,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Anheuser-Busch _ That’s Who We Are,Pabst Blue Ribbon,3.0,60.0,423.0,63.0,188,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.0,3.0,3.0,144.0,0.056,1.5,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Anheuser-Busch _ That’s Who We Are,Truly,3.3,60.7,392.0,64.0,199,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,153.5,0.024,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Aided Awareness,Anheuser-Busch _ That’s Who We Are,White Claw,3.0,61.0,569.0,63.9,266,1.5,1.5,1.5,1.8,1.8,1.8,2.4,2.4,2.4,2.8,2.8,2.8,202.5,0.039,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,ULTRA Club New Members Day,1-2 times a month,0.2,61.1,359.0,61.3,189,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,148.4,0.893,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,ULTRA Club New Members Day,1-2 times a week,-2.6,67.1,239.0,64.5,109,1.9,1.9,1.9,2.3,2.3,2.3,3.0,3.0,3.0,3.5,3.5,3.5,89.9,0.149,1.7,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,ULTRA Club New Members Day,A few times a year,-0.7,55.4,295.0,54.6,159,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,120.8,0.63,1.6,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,ULTRA Club New Members Day,Everyday,-0.8,71.4,55.0,70.6,28,1.9,1.9,1.9,2.4,2.4,2.4,3.0,3.0,3.0,3.6,3.6,3.6,23.5,0.654,2.5,0.3
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,ULTRA Club New Members Day,Never,-1.9,49.8,67.0,47.9,26,1.8,1.8,1.8,2.3,2.3,2.3,2.9,2.9,2.9,3.4,3.4,3.4,22.7,0.271,2.1,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,The Busch Guide: Shelter,1-2 times a month,0.6,61.1,359.0,61.7,184,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,142.4,0.731,1.7,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,The Busch Guide: Shelter,1-2 times a week,3.8,67.1,239.0,70.9,141,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,2.9,2.9,2.9,110.0,0.012,1.4,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,The Busch Guide: Shelter,A few times a year,3.2,55.4,295.0,58.5,129,1.5,1.5,1.5,1.8,1.8,1.8,2.4,2.4,2.4,2.8,2.8,2.8,97.0,0.028,1.5,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,The Busch Guide: Shelter,Everyday,3.2,71.4,55.0,74.6,35,2.0,2.0,2.0,2.4,2.4,2.4,3.1,3.1,3.1,3.7,3.7,3.7,28.3,0.091,2.7,0.3
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,The Busch Guide: Shelter,Never,5.0,49.8,67.0,54.8,21,2.2,2.2,2.2,2.7,2.7,2.7,3.5,3.5,3.5,4.1,4.1,4.1,18.1,0.019,2.1,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,Bud Light: Easy to Summer.mp4,1-2 times a month,1.1,61.1,359.0,62.3,177,1.8,1.8,1.8,2.3,2.3,2.3,2.9,2.9,2.9,3.5,3.5,3.5,135.6,0.528,1.8,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,Bud Light: Easy to Summer.mp4,1-2 times a week,1.9,67.1,239.0,69.1,123,1.8,1.8,1.8,2.3,2.3,2.3,2.9,2.9,2.9,3.5,3.5,3.5,100.3,0.281,2.0,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,Bud Light: Easy to Summer.mp4,A few times a year,0.8,55.4,295.0,56.2,134,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,2.6,2.6,2.6,101.0,0.538,1.3,0.1
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,Bud Light: Easy to Summer.mp4,Everyday,0.3,71.4,55.0,71.7,22,1.8,1.8,1.8,2.2,2.2,2.2,2.8,2.8,2.8,3.3,3.3,3.3,17.6,0.859,3.1,0.3
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,Bud Light: Easy to Summer.mp4,Never,1.8,49.8,67.0,51.6,29,1.4,1.4,1.4,1.8,1.8,1.8,2.3,2.3,2.3,2.7,2.7,2.7,23.9,0.194,1.8,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,Budweiser: Griffey Father’s Day,1-2 times a month,1.0,61.1,359.0,62.1,171,1.7,1.7,1.7,2.1,2.1,2.1,2.6,2.6,2.6,3.2,3.2,3.2,132.2,0.541,1.5,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,Budweiser: Griffey Father’s Day,1-2 times a week,-0.3,67.1,239.0,66.8,135,2.2,2.2,2.2,2.7,2.7,2.7,3.5,3.5,3.5,4.1,4.1,4.1,103.4,0.877,1.8,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,Budweiser: Griffey Father’s Day,A few times a year,1.5,55.4,295.0,56.9,128,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,99.5,0.353,1.6,0.2
Purchase Consideration: Budweiser,Anheuser-Busch Customers,Beer Purchase Frequency,Budweiser: Griffey Father’s Day,Everyday,3.5,71.4,55.0,74.9,33,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,25.8,0.037,2.7,0.3
