,content,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,answers,poststrat
64b9c4a6b238510025e88319,ULTRA Club New Members Day,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,I like it is good enough ,0.7704413793472042
64b9c4b4535d2600244f88ab,Bud Light: Easy to Summer.mp4,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,Funny,0.6188977598749169
64b9c4d3b238510025e88405,ULTRA Club New Members Day,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,I like,0.7704413793472042
64b9c4ec535d2600244f8970,ULTRA Club New Members Day,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,Amazing Serena is so fun and was that Brian Cox at the end? So entertaining!,0.7704413793472042
64b9c4fc780ad5001e932459,ULTRA Club New Members Day,True,False,False,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,It was a pretty dumb video,1.093330900430563
64b9c50553c81800247bc996,The Busch Guide: Shelter,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,You should try this on the first day you are going through it you can get ,0.7704413793472042
64b9c53cec8982001cf312da,ULTRA Club New Members Day,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,True,True,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,Great survey ,0.6181594825444874
64b9c54555ed4f0022bb8e23,The Busch Guide: Shelter,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,I was alright and good video ,0.28633433645380807
64b9c57053c81800247bce86,Budweiser: Griffey Father’s Day,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,Not a fan of this tranny company ,0.7704413793472042
64b9c59320596e001e568a89,Bud Light: NFL Pros,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,Interesting ,0.7704413793472042
64b9c5bf0ad42b0026fa661b,The Busch Guide: Shelter,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,It was quite Intresting for a beer af,0.6188977598749169
64b9c5ebacf94e001de0e568,ULTRA Club New Members Day,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,We absolutely love it,1.5965705598400641
64b9c5ff535d2600244f8a2c,Budweiser: Griffey Father’s Day,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,Very interesting ,0.7704413793472042
64b9c6063e3c1d0022b73737,The Busch Guide: Shelter,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,Boring,1.5272767058676573
64b9c61b535d2600244f8a75,Bud Light: NFL Pros,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,I don't really have any other than it actually seemed genuine.,0.4078743691386892
64b9c61eacf94e001de0e611,Bud Light: NFL Pros,True,False,False,False,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,False,True,True,True,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,It was a great experience tho ,0.7704413793472042
64b9c64a0ad42b0026fa67f7,Bud Light: NFL Pros,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,I really like them,0.813194390203756
64b9c66d5be250001c0d9e63,Bud Light: NFL Pros,False,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,I like that it was cute and funny,1.6350203029358277
64b9c674bba4e400252dc0b2,Bud Light: NFL Pros,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,Funny,0.8763089670626513
64b9c6799b7274001e332ab3,Bud Light: NFL Pros,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,It’s funny,0.805503929969924
64b9c67a780ad5001e93258a,Budweiser: Griffey Father’s Day,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,It was wholesome ,0.38322344428958166
64b9c6c9bba4e400252dc1cb,The Busch Guide: Shelter,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,Good ,0.813194390203756
64b9c6da5606a400245c6452,Bud Light: NFL Pros,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,not for me,1.6350203029358277
64b9c6e25606a400245c6463,Bud Light: NFL Pros,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,It's pandering and trying to get back customers they've lost because of the trans person.,1.6350203029358277
64b9c6e5535d2600244f8b0b,Bud Light: NFL Pros,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,It was boring.,1.6350203029358277
64b9c6eaacf94e001de0e6e6,Bud Light: NFL Pros,False,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,Dumb. Appeals to drunk guys.,1.6350203029358277
64b9c6ecacf94e001de0e6ec,Bud Light: NFL Pros,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,It was ight ,0.41180202333225235
64b9c70cdb4574001fe2493f,Bud Light: NFL Pros,False,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,It was a weird question for a beer commercial ,0.8763089670626513
64b9c70eacf94e001de0e75b,Bud Light: NFL Pros,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,"Well I think anything can be a sandwich just depends on how you make it the bun could be cut in half two pieces the meats in the middle duh
",1.5272767058676573
64b9c71520596e001e568cbe,Bud Light: NFL Pros,False,False,True,True,True,True,True,False,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,VERY funny! ,1.6350203029358277
64b9c7223e3c1d0022b7393e,Bud Light: NFL Pros,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,seemed corny,2.411891739015449
64b9c7255606a400245c6526,Bud Light: NFL Pros,False,False,True,True,True,True,True,False,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False, was okay,1.6068075050145707
64b9c72920596e001e568d00,Bud Light: NFL Pros,False,False,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,I think it was amusing the hot dog sandwich debate,1.6350203029358277
64b9c74b3e3c1d0022b739be,The Busch Guide: Shelter,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,Cheeesy cheesy feet ,0.7704413793472042
64b9c76b55ed4f0022bb9114,Budweiser: Griffey Father’s Day,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,Love it. Feels good ,1.7423608227906962
64b9c76c55ed4f0022bb9117,Bud Light: Easy to Summer.mp4,True,False,False,True,True,False,True,False,True,False,True,True,True,False,True,False,False,False,True,True,False,False,True,True,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,"The video was very clear and simple.
",0.6181594825444874
64b9c76f5606a400245c65e5,The Busch Guide: Shelter,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,love it,0.7704413793472042
64b9c788db4574001fe24a21,Budweiser: Griffey Father’s Day,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,I will consider purchasing this beer now,1.0421884771829248
64b9c79853c81800247bd076,Bud Light: Easy to Summer.mp4,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,It was nice and I liked it.,2.655816563971338
64b9c7a29d848f001cd1dfc3,Bud Light: NFL Pros,False,False,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,IT WAS AMUSING TO EXPLAIN A HOT DOG & SANDWICH VERY ENTERTAINING.,2.655816563971338
64b9c7b35606a400245c66dc,Bud Light: Easy to Summer.mp4,True,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,"Love bud light. Keep supporting equality, it’s the right thing to do. ",0.7704413793472042
64b9c7c6acf94e001de0e7ce,Bud Light: NFL Pros,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,The video was unique in a survey and made it enjoyable.,2.655816563971338
64b9c7c7fbdf27001d417d85,Bud Light: Easy to Summer.mp4,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,Is goods ,0.813194390203756
64b9c7ccfbdf27001d417d98,Budweiser: Griffey Father’s Day,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,Inspiration ,0.6188977598749169
64b9c7e4f07896001b697a55,The Busch Guide: Shelter,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,I love it,0.6188977598749169
64b9c7e90ad42b0026fa6965,Bud Light: NFL Pros,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,"I think it's funny that anyone would try to compare a hotdog to a sandwich. A hotdog is a hotdog, bottom line. ",1.6068075050145707
64b9c7eb5606a400245c6767,Bud Light: Easy to Summer.mp4,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,Good video about bud light ,0.7284744803987538
64b9c7ee5be250001c0d9eef,Bud Light: Easy to Summer.mp4,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,Awesome ,0.7284744803987538
64b9c7f1535d2600244f8baf,Bud Light: Easy to Summer.mp4,True,False,False,True,True,True,True,False,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,Very interesting ,0.813194390203756
64b9c7f5db4574001fe24b3b,ULTRA Club New Members Day,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,I didn’t drink beer ,0.8543204109223953
64b9c7fedb4574001fe24b44,The Busch Guide: Shelter,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,funny ,1.7423608227906962
64b9c8005606a400245c67a0,Bud Light: Easy to Summer.mp4,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,Very creative and funny,2.655816563971338
64b9c81d5be250001c0d9f7c,Bud Light: Easy to Summer.mp4,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,Bud light,0.7704413793472042
64b9c83306b5d2001d31a37a,The Busch Guide: Shelter,False,True,False,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,The video deserves more details and attention drawing. ,1.6350203029358277
64b9c83cb238510025e889cb,ULTRA Club New Members Day,True,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,It just looks like the typical beer ads you see on tv. Still great if you ask me ,0.813194390203756
64b9c84106b5d2001d31a3a7,Bud Light: Easy to Summer.mp4,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,"It was funny, catchy, engaging and good marketing ",0.813194390203756
64b9c8485be250001c0d9fcd,The Busch Guide: Shelter,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,I was confused at first but then it was okay,0.6181594825444874
64b9c84e3e3c1d0022b73a91,ULTRA Club New Members Day,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,One of my favorite commercials! Never fails to put a smile on my face! ,1.3404563953701574
64b9c8583e1b3b00275d4878,The Busch Guide: Shelter,False,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,Seeing Busch comercial is a breath of fresh air. ,0.8696042756751096
64b9c85a41ae020022cf5011,The Busch Guide: Shelter,True,False,False,True,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,Video was engaging and informative ,0.8763089670626513
64b9c85f3e3c1d0022b73abf,ULTRA Club New Members Day,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,Rascist,1.7423608227906962
64b9c8613e1b3b00275d4897,The Busch Guide: Shelter,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,funny,2.655816563971338
64b9c8755606a400245c6843,Bud Light: NFL Pros,False,False,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,It was a cute ad but don't ever need to see it again,2.655816563971338
64b9c878535d2600244f8d17,The Busch Guide: Shelter,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,Do not like that beer ,0.813194390203756
64b9c879535d2600244f8d1a,ULTRA Club New Members Day,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,It was okay,0.28633433645380807
64b9c87c0ad42b0026fa6a5f,Budweiser: Griffey Father’s Day,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,I love it,0.813194390203756
64b9c87c41ae020022cf5065,ULTRA Club New Members Day,False,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,To much of a copy of the movie Caddy Shack,1.8485148023995326
64b9c87f0ad42b0026fa6a62,Bud Light: Easy to Summer.mp4,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,Not really. Maybe make it feel less like an ad. People do t like feeling like there being advertised to,0.6188977598749169
64b9c8800ad42b0026fa6a68,The Busch Guide: Shelter,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,Hilarious ,0.8763089670626513
64b9c8855606a400245c686c,The Busch Guide: Shelter,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,The video was good ,1.7423608227906962
64b9c8860ad42b0026fa6a84,The Busch Guide: Shelter,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,Funny without being dangerous,2.655816563971338
64b9c88dacf94e001de0e976,Budweiser: Griffey Father’s Day,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,It was heartwarming.,1.6350203029358277
64b9c89c41ae020022cf50bf,The Busch Guide: Shelter,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,I don’t really think it is funny making fun at animals.,1.7423608227906962
64b9c8a0535d2600244f8d6e,The Busch Guide: Shelter,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,It was ok ,0.4078743691386892
64b9c8a368cce000230a1f4f,ULTRA Club New Members Day,True,False,False,True,True,False,True,False,True,False,False,True,True,True,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,Cool,0.805503929969924
64b9c8b0acf94e001de0e9b1,The Busch Guide: Shelter,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,Its great I recommend ,0.7284744803987538
64b9c8b8db4574001fe24c6d,ULTRA Club New Members Day,True,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,It would make me want to go buy the product ,0.8543204109223953
64b9c8ce9d848f001cd1e12b,The Busch Guide: Shelter,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,I couldn't see everything just the last picture with the guy holding a beer,1.5272767058676573
64b9c8d50ad42b0026fa6b23,Bud Light: Easy to Summer.mp4,False,False,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,Good Bud Light advertisement,2.655816563971338
64b9c8d906b5d2001d31a3ed,ULTRA Club New Members Day,True,False,False,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,"it wasn’t that engaging 
",0.7284744803987538
64b9c8e306b5d2001d31a429,The Busch Guide: Shelter,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,It was like somthing I would watch on YouTube ,0.28633433645380807
64b9c8e40ad42b0026fa6b8e,ULTRA Club New Members Day,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,Girl from umbrella academy,0.7284744803987538
64b9c8e9fbdf27001d417f4e,ULTRA Club New Members Day,False,False,True,True,True,True,True,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,Was nice and relaxing. ,2.655816563971338
